dicofre;designacao;codigo;lat;long;area;pop;site;district;parish;nuts3;nuts2
1011;Nazaré;NZR;39.600795;-9.072475;82.43;14889;http://www.cm-nazare.pt/;Leiria;3;Oeste;Centro
1012;Óbidos;OBD;39.360556;-9.156944;141.55;11772;http://www.cm-obidos.pt/;Leiria;7;Oeste;Centro
1013;Pedrógão Grande;PGR;39.916944;-8.146389;128.75;3392;http://www.cm-pedrogaogrande.pt/;Leiria;3;Região de Leiria;Centro
1014;Peniche;PNI;39.358889;-9.377778;77.55;27753;http://www.cm-peniche.pt/;Leiria;4;Oeste;Centro
1015;Pombal;PBL;39.916667;-8.666667;626.00;51178;https://www.cm-pombal.pt/;Leiria;13;Região de Leiria;Centro
1016;Porto de Mós;PMS;39.601667;-8.8175;261.83;23203;http://www.municipio-portodemos.pt/;Leiria;10;Região de Leiria;Centro
1101;Alenquer;ALQ;39.056111;-9.008056;304.22;43267;http://www.cm-alenquer.pt;Lisboa;11;Oeste;Centro
1102;Arruda dos Vinhos;ARV;38.983333;-9.083333;77.96;13391;http://www.cm-arruda.pt;Lisboa;4;Oeste;Centro
1103;Azambuja;AZB;39.066667;-8.866667;262.66;21442;http://www.cm-azambuja.pt/;Lisboa;7;Lezíria do Tejo;Alentejo
1104;Cadaval;CDV;39.25;-9.1;174.89;14228;http://www.cm-cadaval.pt;Lisboa;7;Oeste;Centro
1105;Cascais;CSC;38.7;-9.416667;97.40;214134;https://www.cascais.pt/;Lisboa;4;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1106;Lisboa;LSB;38.725278;-9.15;100.05;544851;http://www.cm-lisboa.pt;Lisboa;24;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1107;Loures;LRS;38.833333;-9.166667;167.24;201646;https://www.cm-loures.pt;Lisboa;10;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1108;Lourinhã;LNH;39.25;-9.316667;147.17;25735;http://www.cm-lourinha.pt;Lisboa;8;Oeste;Centro
1109;Mafra;MFR;38.933333;-9.333333;291.66;86523;http://www.cm-mafra.pt/;Lisboa;11;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1110;Oeiras;OER;38.695833;-9.309167;45.88;171802;http://www.cm-oeiras.pt;Lisboa;5;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1111;Sintra;SNT;38.799167;-9.388333;319.23;385954;http://www.cm-sintra.pt/;Lisboa;11;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1112;Sobral de Monte Agraço;SMA;39.019722;-9.148889;52.10;10156;http://www.cm-sobral.pt;Lisboa;3;Oeste;Centro
1113;Torres Vedras;TVD;39.090556;-9.259167;407.15;83130;http://www.cm-tvedras.pt/;Lisboa;13;Oeste;Centro
1114;Vila Franca de Xira;VFX;38.95;-8.983333;318.19;136886;http://www.cm-vfxira.pt;Lisboa;6;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1115;Amadora;AMD;38.75;-9.233333;23.79;171719;http://www.cm-amadora.pt;Lisboa;6;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1116;Odivelas;ODV;38.8;-9.183333;26.54;148156;http://www.cm-odivelas.pt/;Lisboa;4;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1201;Alter do Chão;ALT;39.2;-7.666667;362.07;3044;http://www.cm-alter-chao.pt/;Portalegre;4;Alto Alentejo;Alentejo
1202;Arronches;ARR;39.116667;-7.283333;314.65;2789;https://cm-arronches.pt/;Portalegre;3;Alto Alentejo;Alentejo
1203;Avis;AVS;39.05;-7.883333;605.97;3812;https://cm-avis.pt/;Portalegre;6;Alto Alentejo;Alentejo
1204;Campo Maior;CMR;39.016667;-7.066667;247.20;8042;http://www.cm-campo-maior.pt/;Portalegre;3;Alto Alentejo;Alentejo
1205;Castelo de Vide;CVD;39.416667;-7.45;264.91;3116;https://cm-castelo-vide.pt/;Portalegre;4;Alto Alentejo;Alentejo
1206;Crato;CRT;39.283333;-7.65;398.07;3225;http://www.cm-crato.pt;Portalegre;4;Alto Alentejo;Alentejo
1207;Elvas;ELV;38.866667;-7.166667;631.29;20753;http://www.cm-elvas.pt;Portalegre;7;Alto Alentejo;Alentejo
1208;Fronteira;FTR;39.05;-7.65;248.60;2858;http://www.cm-fronteira.pt;Portalegre;3;Alto Alentejo;Alentejo
1209;Gavião;GAV;39.466667;-7.933333;294.59;3394;http://www.cm-gaviao.pt/;Portalegre;4;Alto Alentejo;Alentejo
1210;Marvão;MRV;39.4;-7.366667;154.90;3021;https://www.cm-marvao.pt/;Portalegre;4;Alto Alentejo;Alentejo
1211;Monforte;MFT;39.052222;-7.438056;420.25;2992;http://www.cm-monforte.pt/;Portalegre;4;Alto Alentejo;Alentejo
1212;Nisa;NIS;39.51540;-7.64907;575.68;5951;http://www.cm-nisa.pt;Portalegre;7;Alto Alentejo;Alentejo
1213;Ponte de Sor;PSR;39.24910;-8.00877;839.71;15249;http://www.cm-pontedesor.pt/;Portalegre;5;Alto Alentejo;Alentejo
1214;Portalegre;PTG;39.283333;-7.433333;447.14;22368;http://www.cm-portalegre.pt;Portalegre;7;Alto Alentejo;Alentejo
1215;Sousel;SSL;38.9525;-7.676389;279.32;4360;http://www.cm-sousel.pt;Portalegre;4;Alto Alentejo;Alentejo
1301;Amarante;AMT;41.269444;-8.078333;301.33;56264;http://www.cm-amarante.pt/;Porto;26;Tâmega e Sousa;Norte
1302;Baião;BAO;41.166667;-8.033333;174.53;20522;http://www.cm-baiao.pt/;Porto;14;Tâmega e Sousa;Norte
1303;Felgueiras;FLG;41.366667;-8.183333;115.74;58065;http://www.cm-felgueiras.pt/;Porto;20;Tâmega e Sousa;Norte
1304;Gondomar;GDM;41.15;-8.533333;131.86;168027;http://www.cm-gondomar.pt/;Porto;7;Área Metropolitana do Porto;Norte
1305;Lousada;LOU;41.283333;-8.283333;96.08;47387;http://www.cm-lousada.pt/;Porto;15;Tâmega e Sousa;Norte
1306;Maia;MAI;41.233333;-8.616667;82.99;135678;http://www.cm-maia.pt;Porto;10;Área Metropolitana do Porto;Norte
1307;Marco de Canaveses;MCN;41.183333;-8.15;201.89;53450;http://www.cm-marco-canaveses.pt/;Porto;16;Tâmega e Sousa;Norte
1308;Matosinhos;MTS;41.183333;-8.7;62.42;175478;http://www.cm-matosinhos.pt/;Porto;4;Área Metropolitana do Porto;Norte
1309;Paços de Ferreira;PFR;41.283333;-8.383333;70.99;56340;http://www.cm-pacosdeferreira.pt;Porto;12;Tâmega e Sousa;Norte
1310;Paredes;PRD;41.2;-8.333333;156.76;86854;http://www.cm-paredes.pt/;Porto;18;Área Metropolitana do Porto;Norte
1311;Penafiel;PNF;41.20669;-8.28386;212.24;72265;http://www.cm-penafiel.pt/;Porto;28;Tâmega e Sousa;Norte
1312;Porto;PRT;41.149444;-8.610833;41.42;231962;http://www.cm-porto.pt;Porto;7;Área Metropolitana do Porto;Norte
1313;Póvoa de Varzim;PVZ;41.38;-8.760833;82.21;63408;http://www.cm-pvarzim.pt;Porto;7;Área Metropolitana do Porto;Norte
1314;Santo Tirso;STS;41.35;-8.483333;136.60;71530;http://www.cm-stirso.pt/;Porto;14;Área Metropolitana do Porto;Norte
1315;Valongo;VLG;41.183333;-8.5;75.12;93858;http://www.cm-valongo.pt/;Porto;4;Área Metropolitana do Porto;Norte
1316;Vila do Conde;VCD;41.35;-8.75;149.03;79533;http://www.cm-viladoconde.pt;Porto;21;Área Metropolitana do Porto;Norte
1317;Vila Nova de Gaia;VNG;41.133333;-8.616667;168.46;304149;http://www.cm-gaia.pt;Porto;15;Área Metropolitana do Porto;Norte
1318;Trofa;TRF;41.35;-8.55;72.02;38999;http://www.mun-trofa.pt/;Porto;5;Área Metropolitana do Porto;Norte
1401;Abrantes;ABT;39.466667;-8.2;714.69;34351;http://www.cm-abrantes.pt;Santarém;13;Médio Tejo;Centro
1402;Alcanena;ACN;39.466667;-8.666667;137.33;20604;http://www.cm-alcanena.pt;Santarém;7;Médio Tejo;Centro
1403;Almeirim;ALR;39.209167;-8.628611;222.12;22016;https://www.cm-almeirim.pt/;Santarém;4;Lezíria do Tejo;Alentejo
1404;Alpiarça;APC;39.266667;-8.583333;95.36;6976;https://cm-alpiarca.pt/;Santarém;1;Lezíria do Tejo;Alentejo
1405;Benavente;BNV;38.983333;-8.816667;521.38;29716;http://www.cm-benavente.pt/;Santarém;4;Lezíria do Tejo;Alentejo
1406;Cartaxo;CTX;39.15;-8.783333;158.17;23187;http://www.cm-cartaxo.pt;Santarém;6;Lezíria do Tejo;Alentejo
1407;Chamusca;CHM;39.35;-8.483333;746.01;8530;http://www.cm-chamusca.pt/;Santarém;5;Lezíria do Tejo;Alentejo
1408;Constância;CNS;39.483333;-8.333333;80.37;4056;http://www.cm-constancia.pt/;Santarém;3;Médio Tejo;Centro
1409;Coruche;CCH;38.95;-8.533333;1115.72;17356;https://www.cm-coruche.pt/;Santarém;6;Lezíria do Tejo;Alentejo
1410;Entroncamento;ENT;39.466667;-8.466667;13.73;20206;https://www.cm-entroncamento.pt/;Santarém;2;Médio Tejo;Centro
1411;Ferreira do Zêzere;FZZ;39.7;-8.283333;190.38;8619;http://www.cm-ferreiradozezere.pt/;Santarém;7;Médio Tejo;Centro
1412;Golegã;GLG;39.4;-8.483333;84.32;5400;https://www.cm-golega.pt/;Santarém;3;Lezíria do Tejo;Alentejo
1413;Mação;MAC;39.55;-8;399.98;7338;http://www.cm-macao.pt/;Santarém;6;Médio Tejo;Centro
1414;Rio Maior;RMR;39.333333;-8.933333;272.76;21005;https://www.cm-riomaior.pt;Santarém;10;Lezíria do Tejo;Alentejo
1415;Salvaterra de Magos;SMG;39.025833;-8.792778;243.93;22613;http://www.cm-salvaterrademagos.pt;Santarém;4;Lezíria do Tejo;Alentejo
1416;Santarém;STR;39.233889;-8.686111;552.54;58671;http://www.cm-santarem.pt;Santarém;18;Lezíria do Tejo;Alentejo
1417;Sardoal;SRD;39.537369;-8.161381;92.15;3939;http://www.cm-sardoal.pt;Santarém;4;Médio Tejo;Centro
1418;Tomar;TMR;39.6;-8.416667;351.2;36444;http://www.cm-tomar.pt;Santarém;11;Médio Tejo;Centro
1419;Torres Novas;TNV;39.483333;-8.533333;270;34149;http://www.cm-torresnovas.pt;Santarém;10;Médio Tejo;Centro
1420;Vila Nova da Barquinha;VNB;39.45;-8.433333;49.53;7322;http://www.cm-vnbarquinha.pt/;Santarém;4;Médio Tejo;Centro
1421;Ourém;ORM;39.65;-8.583333;416.68;44576;http://www.ourem.pt/;Santarém;13;Médio Tejo;Centro
1501;Alcácer do Sal;ASL;38.366667;-8.5;1499.87;11113;http://www.cm-alcacerdosal.pt/;Setúbal;4;Alentejo Litoral;Alentejo
1502;Alcochete;ACH;38.75;-8.966667;128.36;19145;https://www.cm-alcochete.pt/;Setúbal;3;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1503;Almada;ALM;38.680278;-9.158333;70.21;177268;https://www.cm-almada.pt/;Setúbal;11;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1504;Barreiro;BRR;38.666667;-9.066667;36.39;78359;http://www.cm-barreiro.pt/;Setúbal;4;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1505;Grândola;GDL;38.183333;-8.566667;825.94;13823;http://www.cm-grandola.pt;Setúbal;4;Alentejo Litoral;Alentejo
1506;Moita;MTA;38.65;-9;55.26;66262;http://www.cm-moita.pt;Setúbal;4;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1507;Montijo;MTJ;38.7;-8.966667;348.62;55689;http://www.mun-montijo.pt;Setúbal;5;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1508;Palmela;PLM;38.5675;-8.899167;465.12;68856;http://www.cm-palmela.pt/;Setúbal;4;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1509;Santiago do Cacém;STC;38.016667;-8.7;1059.77;27773;http://www.cm-santiagocacem.pt/;Setúbal;8;Alentejo Litoral;Alentejo
1510;Seixal;SXL;38.65;-9.1;95.50;166525;http://www.cm-seixal.pt/;Setúbal;4;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1511;Sesimbra;SSB;38.447222;-9.099444;195.47;52465;http://www.cm-sesimbra.pt/;Setúbal;3;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1512;Setúbal;STB;38.524306;-8.8925;230.33;123519;http://www.mun-setubal.pt/;Setúbal;5;Área Metropolitana de Lisboa;Área Metropolitana de Lisboa
1513;Sines;SNS;37.956944;-8.869722;132.42;14214;http://www.sines.pt;Setúbal;2;Alentejo Litoral;Alentejo
1601;Arcos de Valdevez;AVV;41.85;-8.416667;447.60;22847;http://www.cmav.pt;Viana do Castelo;36;Alto Minho;Norte
1602;Caminha;CMN;41.833333;-8.833333;136.52;16684;https://www.cm-caminha.pt/;Viana do Castelo;14;Alto Minho;Norte
1603;Melgaço;MLG;42.116667;-8.266667;238.25;7776;https://www.cm-melgaco.pt/;Viana do Castelo;13;Alto Minho;Norte
1604;Monção;MNC;42.073333;-8.48;211.31;19230;http://www.cm-moncao.pt;Viana do Castelo;24;Alto Minho;Norte
1605;Paredes de Coura;PCR;41.881667;-8.666389;138.19;9198;https://www.paredesdecoura.pt;Viana do Castelo;16;Alto Minho;Norte
1606;Ponte da Barca;PTB;41.808611;-8.420833;182.11;12061;http://www.cmpb.pt;Viana do Castelo;17;Alto Minho;Norte
1607;Ponte de Lima;PTL;41.766667;-8.583333;320.25;43498;http://www.cm-pontedelima.pt/;Viana do Castelo;39;Alto Minho;Norte
1608;Valença;VLN;42.025833;-8.632778;117.13;13634;https://cm-valenca.pt/;Viana do Castelo;11;Alto Minho;Norte
1609;Viana do Castelo;VCT;41.7;-8.833333;319.02;85784;http://www.cm-viana-castelo.pt/;Viana do Castelo;27;Alto Minho;Norte
1610;Vila Nova de Cerveira;VNC;41.94;-8.744444;108.47;9253;http://www.cm-vncerveira.pt/;Viana do Castelo;11;Alto Minho;Norte
1701;Alijó;ALJ;41.283333;-7.466667;297.60;10492;https://www.cm-alijo.pt;Vila Real;14;Douro;Norte
1702;Boticas;BTC;41.683333;-7.666667;321.96;5750;http://www.cm-boticas.pt/;Vila Real;10;Alto Tâmega;Norte
1703;Chaves;CHV;41.75;-7.533333;591.23;41243;http://www.chaves.pt/;Vila Real;39;Alto Tâmega;Norte
1704;Mesão Frio;MSF;41.166667;-7.883333;26.65;4433;http://www.cm-mesaofrio.pt;Vila Real;5;Douro;Norte
1705;Mondim de Basto;MDB;41.42;-7.958333;172.08;6410;http://www.mondimdebasto.pt/;Vila Real;6;Ave;Norte
1706;Montalegre;MTR;41.823889;-7.79;805.46;10537;http://www.cm-montalegre.pt/;Vila Real;25;Alto Tâmega;Norte
1707;Murça;MUR;41.408333;-7.453611;189.37;5245;https://www.cm-murca.pt;Vila Real;7;Douro;Norte
1708;Peso da Régua;PRG;41.16173;-7.78910;94.86;14553;http://www.cm-pesoregua.pt/;Vila Real;8;Douro;Norte
1709;Ribeira de Pena;RPN;41.519444;-7.814444;217.46;5887;http://www.cm-rpena.pt/;Vila Real;5;Alto Tâmega;Norte
1710;Sabrosa;SBS;41.265278;-7.578056;156.92;6361;https://www.sabrosa.pt;Vila Real;12;Douro;Norte
1711;Santa Marta de Penaguião;SMP;41.210833;-7.784444;69.28;7356;http://www.cm-smpenaguiao.pt/;Vila Real;7;Douro;Norte
1712;Valpaços;VLP;41.6;-7.316667;548.74;16882;http://www.valpacos.pt;Vila Real;25;Alto Tâmega;Norte
1713;Vila Pouca de Aguiar;VPA;41.501667;-7.647778;437.07;11813;https://www.cm-vpaguiar.pt/;Vila Real;14;Alto Tâmega;Norte
1714;Vila Real;VRL;41.295833;-7.746111;378.80;49574;http://www.cm-vilareal.pt;Vila Real;20;Douro;Norte
1801;Armamar;AMM;41.116667;-7.683333;117.24;6297;http://www.cm-armamar.pt;Viseu;14;Douro;Norte
1802;Carregal do Sal;CRS;40.433333;-8;116.89;9835;http://www.carregal-digital.pt;Viseu;5;Viseu Dão-Lafões;Centro
1803;Castro Daire;CDR;40.9;-7.933333;379.04;15339;http://www.cm-castrodaire.pt/;Viseu;16;Viseu Dão-Lafões;Centro
1804;Cinfães;CNF;41.066667;-8.083333;239.29;20427;http://www.cm-cinfaes.pt;Viseu;14;Tâmega e Sousa;Norte
1805;Lamego;LMG;41.083333;-7.866667;165.42;26691;http://www.cm-lamego.pt;Viseu;18;Douro;Norte
1806;Mangualde;MGL;40.6;-7.766667;219.26;19880;http://www.cmmangualde.pt;Viseu;12;Viseu Dão-Lafões;Centro
1807;Moimenta da Beira;MBR;40.983333;-7.616667;200.00;10201;http://www.cm-moimenta.pt/;Viseu;16;Douro;Norte
1808;Mortágua;MRT;40.393056;-8.233333;251.18;9607;http://www.cm-mortagua.pt;Viseu;7;Região de Coimbra;Centro
1809;Nelas;NLS;40.53;-7.855;125.71;13124;http://www.cm-nelas.pt/;Viseu;7;Viseu Dão-Lafões;Centro
1810;Oliveira de Frades;OFR;40.747222;-8.173889;147.45;9510;http://www.cm-ofrades.com/;Viseu;8;Viseu Dão-Lafões;Centro
1811;Penalva do Castelo;PCT;40.673889;-7.698056;134.34;7956;https://www.cm-penalvadocastelo.pt/;Viseu;11;Viseu Dão-Lafões;Centro
1812;Penedono;PND;40.989444;-7.394722;133.71;2952;https://www.cm-penedono.pt/;Viseu;7;Douro;Norte
1813;Resende;RSD;41.1;-7.95;123.35;11364;http://www.cm-resende.pt;Viseu;11;Tâmega e Sousa;Norte
1814;Santa Comba Dão;SCD;40.4;-8.133333;111.95;11597;http://www.cm-santacombadao.pt/;Viseu;6;Viseu Dão-Lafões;Centro
1815;São João da Pesqueira;SJP;41.148056;-7.405;266.11;7874;http://www.sjpesqueira.pt;Viseu;11;Douro;Norte
1816;São Pedro do Sul;SPS;40.760833;-8.065556;348.95;16851;http://www.cm-spsul.pt/;Viseu;14;Viseu Dão-Lafões;Centro
1817;Sátão;SAT;40.743056;-7.733056;201.94;11026;http://www.cm-satao.pt/;Viseu;9;Viseu Dão-Lafões;Centro
1818;Sernancelhe;SRN;40.900278;-7.494444;228.61;5671;http://www.cm-sernancelhe.pt;Viseu;13;Douro;Norte
1819;Tabuaço;TBC;41.117489;-7.567675;133.86;6350;http://www.cm-tabuaco.pt;Viseu;13;Douro;Norte
1820;Tarouca;TRC;41.016667;-7.783333;100.08;8048;http://www.cm-tarouca.pt;Viseu;7;Douro;Norte
1821;Tondela;TND;40.516667;-8.083333;371.22;28946;http://www.cm-tondela.pt;Viseu;19;Viseu Dão-Lafões;Centro
1822;Vila Nova de Paiva;VNP;40.85;-7.733333;175.53;5176;http://www.cm-vnpaiva.pt/;Viseu;5;Viseu Dão-Lafões;Centro
1823;Viseu;VIS;40.660833;-7.909444;507.10;99561;http://www.cm-viseu.pt/;Viseu;25;Viseu Dão-Lafões;Centro
1824;Vouzela;VZL;40.723056;-8.111944;193.69;10564;http://www.cm-vouzela.pt;Viseu;9;Viseu Dão-Lafões;Centro